name_zh,name_en,equation_smiles,reaction_type_slug,summary,condition,exam_tips,reference,status
羟醛缩合,Aldol Reaction,CC=O.CC=O>>CC(O)CC=O,carbon-carbon-bond-formation,具有α-氢的醛或酮在碱或酸催化下缩合生成β-羟基醛或β-羟基酮的反应,稀碱溶液或酸催化,考研高频；区分自身缩合与交叉缩合；产物可进一步脱水生成α,β-不饱和醛酮,基础有机化学,published
傅克酰基化,Friedel-Crafts Acylation,c1ccccc1.CC(=O)Cl>>CC(=O)c1ccccc1,carbon-carbon-bond-formation,芳烃与酰氯或酸酐在Lewis酸催化下生成芳香酮的反应,AlCl3催化，无水条件,考研高频；酰基化不重排可控制一元取代；产物为酮可还原为烷基苯,基础有机化学,published
傅克烷基化,Friedel-Crafts Alkylation,c1ccccc1.CCl>>Cc1ccccc1,carbon-carbon-bond-formation,芳烃与卤代烃在Lewis酸催化下生成烷基苯的反应,AlCl3催化,考研高频；烷基化易重排；苯环有吸电子基时不反应,基础有机化学,published
维蒂希反应,Wittig Reaction,,rearrangement-reactions,醛或酮与磷叶立德反应生成烯烃,,考研高频；反应条件温和位置确定是合成烯烃的重要方法,基础有机化学,published
格氏反应,Grignard Reaction,C[Mg]Br.C=O>>CCO,substitution-elimination,格氏试剂与醛酮加成生成醇的反应,无水乙醚或THF,考研高频；格氏试剂制备需严格无水；与甲醛得伯醇与其他醛得仲醇与酮得叔醇,基础有机化学,published
狄尔斯-阿尔德反应,Diels-Alder Reaction,C=CC=C.C=C>>C1C=CCCC1,carbon-carbon-bond-formation,共轭双烯与亲双烯体发生[4+2]环加成生成六元环的反应,加热,考研高频；顺式加成立体专一；双烯体需s-顺式构象；含吸电子基的亲双烯体反应更快,基础有机化学,published
康尼查罗反应,Cannizzaro Reaction,O=CC1=CC=CC=C1.O=CC1=CC=CC=C1>>O=C(O)C1=CC=CC=C1.OCC1=CC=CC=C1,reduction-reactions,无α-氢的醛在强碱作用下发生分子间氧化还原生成醇和酸的反应,浓强碱,考研高频；交叉歧化时甲醛被氧化其它醛被还原,基础有机化学,published
贝克曼重排,Beckmann Rearrangement,CC(=NO)C>>CC(=O)NC,rearrangement-reactions,酮肟在酸催化下重排生成酰胺的反应,酸性催化剂,考研高频；处于羟基反位的烃基迁移；迁移基团构型保持,基础有机化学,published
克莱森缩合,Claisen Condensation,CC(=O)OCC.CC(=O)OCC>>CC(=O)CC(=O)OCC,carbon-carbon-bond-formation,两分子酯在强碱作用下缩合生成β-酮酸酯的反应,强碱（乙醇钠）,考研高频；分子内克莱森称Dieckmann缩合；交叉克莱森可用于不同酯之间,基础有机化学,published
迈克尔加成,Michael Addition,CC(=O)C.C=CC=O>>CC(=O)CCC=O,carbon-carbon-bond-formation,碳负离子与α,β-不饱和羰基化合物发生的1,4-共轭加成反应,碱性催化剂,考研高频；给体含活泼亚甲基；产物为1,5-二羰基化合物,基础有机化学,published
霍夫曼重排,Hofmann Rearrangement,CC(=O)N>>CN,rearrangement-reactions,酰胺与次卤酸钠反应生成少一个碳的伯胺的反应,NaOBr或NaOCl/NaOH,考研重点；碳链减少一个；迁移基团构型保持,基础有机化学,published
克莱门森还原,Clemmensen Reduction,CC(=O)c1ccccc1>>CCc1ccccc1,reduction-reactions,羰基化合物在锌汞齐和盐酸作用下被还原为亚甲基的反应,Zn-Hg/HCl,考研高频；酸性条件下适用；对酸敏感的化合物不适用；不能还原α,β-不饱和酮中的C=C,基础有机化学,published
沃尔夫-凯惜纳-黄鸣龙还原,Wolff-Kishner Reduction,CC(=O)C>>CCC,reduction-reactions,羰基化合物在肼和强碱作用下还原为亚甲基的反应,NH2NH2/KOH/加热,考研高频；碱性条件下适用；黄鸣龙改进法可在常压下进行；对碱敏感的化合物不适用,基础有机化学,published
伯奇还原,Birch Reduction,c1ccccc1>>C1=CCC=CC1,reduction-reactions,芳环在Na/NH3和醇作用下被还原为1,4-环己二烯的反应,Na/液NH3/ROH,考研高频；产物为1,4-环己二烯；给电子基取代的苯环还原较慢,基础有机化学,published
频哪醇重排,Pinacol Rearrangement,CC(C)(O)C(C)(C)O>>CC(C)(C)C(C)=O,rearrangement-reactions,邻二醇在酸催化下重排生成醛或酮的反应,酸催化（H2SO4等）,考研高频；迁移基团与离去基团处于反式时反应快；可导致环的缩小,基础有机化学,published
罗森蒙德还原,Rosenmund Reduction,CC(=O)Cl>>CC=O,reduction-reactions,酰氯在Pd/BaSO4催化下选择加氢还原为醛的反应,Pd/BaSO4/喹啉硫毒化剂,考研高频；选择性将酰氯还原为醛不进一步还原为醇,基础有机化学,published
威廉姆森合成,Williamson Synthesis,CCO.CBr>>CCOC,substitution-elimination,卤代烃与醇钠反应制备醚的方法,无水条件/加热,考研高频；SN2机理适合伯卤代烃；不适合叔卤代烃易消除；合成不对称醚时位阻小者作卤代烃,基础有机化学,published
加布列尔合成,Gabriel Synthesis,,substitution-elimination,邻苯二甲酰亚钾与卤代烃反应制备纯伯胺的方法,DMF或乙醇/加热,考研高频；制得纯伯胺无仲叔胺副产物；产物需水解或肼解,基础有机化学,published
迪克曼缩合,Dieckmann Condensation,,carbon-carbon-bond-formation,二元酸酯在强碱作用下分子内缩合生成环状β-酮酸酯的反应,强碱/稀溶液,考研重点；分子内克莱森缩合；五元六元环产率好,基础有机化学,published
珀金反应,Perkin Reaction,,carbon-carbon-bond-formation,芳香醛与酸酐在碱催化下缩合生成肉桂酸类化合物的反应,相应羧酸盐或叔胺催化,考研重点；产物的双键通常为E构型,基础有机化学,published
诺文格尔缩合,Knoevenagel Condensation,,carbon-carbon-bond-formation,醛酮与含活泼亚甲基的化合物在弱碱作用下缩合生成α,β-不饱和化合物的反应,弱碱（哌啶等）,考研重点；脱水一步完成；常用于制备肉桂酸衍生物,基础有机化学,published
雷福尔马茨基反应,Reformatsky Reaction,,carbon-carbon-bond-formation,醛酮与α-卤代酸酯在锌粉作用下缩合生成β-羟基酯的反应,锌粉/无水条件,考研重点；不使用格氏试剂而用锌粉避免副反应；可合成β-羟基酯,基础有机化学,published
桑德迈尔反应,Sandmeyer Reaction,,substitution-elimination,重氮盐在卤化亚铜作用下转化为卤代芳烃的反应,CuX(X=Cl/Br/CN)/加热,考研高频；芳香胺→重氮盐→卤代芳烃；KBr/CuBr得溴苯KCl/CuCl得氯苯,基础有机化学,published
赖默尔-蒂曼反应,Reimer-Tiemann Reaction,,substitution-elimination,苯酚在氯仿和强碱作用下在芳环上引入醛基的反应,CHCl3/NaOH/加热,考研重点；邻位产物为主；适用于酚类化合物,基础有机化学,published
科尔贝-施密特反应,Kolbe-Schmitt Reaction,,substitution-elimination,苯酚钠与二氧化碳在高温高压下反应生成水杨酸的反应,CO2/高温高压,考研重点；是制备水杨酸的工业方法；阿司匹林合成前步,基础有机化学,published
曼尼希反应,Mannich Reaction,,carbon-carbon-bond-formation,含活泼氢的化合物与甲醛和胺缩合生成β-氨基羰基化合物的反应,酸催化或碱催化,考研重点；可构建C-C键同时引入氨基；产物可进一步转化,基础有机化学,published
罗宾逊环化,Robinson Annulation,,carbon-carbon-bond-formation,Michael加成后分子内Aldol缩合构建环己烯酮骨架的反应,碱性催化剂/加热,考研重点；是合成甾体化合物骨架的重要方法；一步构建六元环,基础有机化学,published
斯托克烯胺反应,Stork Enamine Reaction,,carbon-carbon-bond-formation,烯胺作为亲核试剂与烷基化试剂或酰卤反应后在α位引入取代基的反应,碱性条件/加热,考研重点；烯胺相当于羰基α-碳的等效体；选择性好,基础有机化学,published
施密特重排,Schmidt Rearrangement,,rearrangement-reactions,叠氮酸在酸催化下与羰基化合物反应生成酰胺或胺的反应,H2SO4等强酸,考研重点；反应条件剧烈；羧酸→胺酮→酰胺,基础有机化学,published
沃尔夫重排,Wolff Rearrangement,,rearrangement-reactions,α-重氮酮在光或银盐催化下重排生成烯酮进而转化为羧酸衍生物的反应,光或Ag2O催化,考研重点；是Arndt-Eistert合成关键步骤；碳链增加一个碳,基础有机化学,published
克莱森重排,Claisen Rearrangement,,rearrangement-reactions,烯丙基芳基醚在高温下重排为邻位烯丙基苯酚的反应,高温（约200℃）,考研重点；[3,3]σ重排；对位被占据时重排到邻位；是周环反应,基础有机化学,published
科普重排,Cope Rearrangement,,rearrangement-reactions,1,5-二烯在加热条件下发生[3,3]σ重排的反应,加热,考研重点；可逆反应；当产物更稳定时平衡正向移动；是周环反应,基础有机化学,published
弗里斯重排,Fries Rearrangement,,rearrangement-reactions,酚酯在Lewis酸催化下加热重排为邻位或对位酰基苯酚的反应,AlCl3/加热,考研重点；邻对位产物比例与温度有关；低温以对位为主高温邻位增多,基础有机化学,published
达森反应,Darzens Reaction,,carbon-carbon-bond-formation,醛酮与α-卤代酯在碱作用下缩合生成缩水甘油酸酯的反应,强碱（NaNH2等）,考研重点；产物可水解得α,β-环氧酸；具有立体选择性,基础有机化学,published
汉奇吡啶合成,Hantzsch Pyridine Synthesis,,carbon-carbon-bond-formation,β-酮酯与甲醛和氨缩合生成对称吡啶衍生物的反应,加热/氨或铵盐,考研重点；一步构建吡啶环；可用于合成二氢吡啶类药物中间体,基础有机化学,published
加特曼-科赫反应,Gattermann-Koch Formylation,c1ccccc1>>O=Cc1ccccc1,substitution-elimination,芳烃在Lewis酸存在下与CO和HCl反应生成芳香醛的反应,AlCl3/高压CO+HCl,考研重点；是芳香醛合成方法之一；苯及其烷基苯适用,基础有机化学,published
奥本瑙尔氧化,Oppenauer Oxidation,CC(O)C>>CC(=O)C,oxidation-reactions,二级醇在铝盐催化下被酮氧化为对应的酮的反应,Al(Ot-Bu)3/丙酮过量,考研重点；反应条件温和选择性好；不氧化不饱和键；是M-P还原的逆反应,基础有机化学,published
魏悌希-霍纳尔反应,Horner-Wadsworth-Emmons Reaction,,carbon-carbon-bond-formation,膦酸酯碳负离子与醛酮反应生成烯烃的方法,强碱/THF,考研重点；Wittig反应的改进版；试剂更易制备；具有E选择性,基础有机化学,published
贝克曼重排(酮肟),Beckmann Rearrangement (),CC(=NO)C>>CC(=O)NC,rearrangement-reactions,环酮肟在酸催化下重排扩环生成内酰胺的反应,H2SO4或PPA,考研重点；可用于合成尼龙的单体；迁移基团的立体选择性,基础有机化学,draft
武兹反应,Wurtz Reaction,,substitution-elimination,卤代烃与金属钠共热发生偶联生成碳链加倍的烷烃的反应,金属Na/无水条件,考研重点；适用于相同伯卤代烃；两种不同卤代烃产物复杂,基础有机化学,published
